Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
25,7,13,13,2,3,1,0,0,1,0,0,0,4,.231,.231,.308,.538,52,4,0,0,0,0,0
26,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,62,176,165,17,40,11,0,4,26,1,0,7,31,.242,.269,.382,.650,71,63,7,0,1,3,1
28,80,252,229,19,50,9,1,2,21,0,0,16,57,.218,.272,.293,.565,49,67,7,2,2,3,0
29,77,265,242,30,59,12,0,10,42,1,0,17,67,.244,.295,.417,.713,93,101,10,2,1,3,0
30,72,240,228,29,64,12,0,8,35,1,1,10,50,.281,.310,.439,.748,97,100,7,0,1,1,0
31,37,135,130,12,31,5,0,2,17,0,0,4,47,.238,.259,.323,.582,59,42,3,0,0,1,0
32,28,62,60,5,13,2,0,1,5,0,0,2,22,.217,.242,.300,.542,46,18,4,0,0,0,0
24,18,49,44,7,14,1,0,1,3,0,0,4,16,.318,.388,.409,.797,116,18,1,1,0,0,0
28,55,179,152,26,45,9,3,1,19,0,0,21,36,.296,.397,.414,.811,127,63,0,5,0,1,1
29,6,13,11,1,1,0,0,1,2,0,0,2,5,.091,.231,.364,.594,58,4,0,0,0,0,0
29,26,96,82,7,20,4,1,0,5,0,0,12,21,.244,.344,.317,.661,80,26,0,1,0,1,0
31,25,45,37,4,10,1,0,0,4,0,1,6,10,.270,.356,.297,.653,80,11,0,0,0,2,1
23,31,62,57,7,12,4,0,1,1,0,1,3,17,.211,.274,.333,.608,67,19,0,2,0,0,0
24,18,46,36,7,5,1,1,0,3,2,0,5,19,.139,.304,.222,.527,45,8,1,4,0,1,0
25,7,10,8,0,2,0,0,0,2,1,0,1,1,.250,.300,.250,.550,54,2,0,0,0,1,0
26,16,38,36,5,7,2,0,3,7,0,0,1,12,.194,.237,.500,.737,92,18,3,1,0,0,0
24,44,135,122,17,36,8,3,5,16,1,0,13,26,.295,.363,.533,.896,147,65,3,0,0,0,0
25,80,262,236,31,53,11,0,13,32,5,1,26,66,.225,.302,.436,.738,96,103,3,0,0,0,0
26,27,55,49,6,6,2,1,1,2,0,0,6,23,.122,.218,.265,.483,28,13,0,0,0,0,1
27,51,137,128,15,15,3,0,3,9,3,1,7,50,.117,.162,.211,.373,2,27,0,0,1,1,1
27,3,7,7,1,1,0,0,0,0,0,0,0,4,.143,.143,.143,.286,-20,1,0,0,0,0,0
27,48,130,121,14,14,3,0,3,9,3,1,7,46,.116,.163,.215,.378,4,26,0,0,1,1,1
30,15,35,28,6,7,1,0,4,9,2,0,7,11,.250,.400,.714,1.114,193,20,2,0,0,0,0
26,22,54,52,4,13,3,2,0,5,1,2,1,15,.250,.264,.385,.649,74,20,2,0,1,0,0
26,7,22,21,1,6,3,1,0,3,0,0,0,7,.286,.286,.524,.810,117,11,0,0,1,0,0
26,15,32,31,3,7,0,1,0,2,1,2,1,8,.226,.250,.290,.540,46,9,2,0,0,0,0
26,14,31,30,0,4,0,0,0,1,0,0,1,14,.133,.161,.133,.295,-19,4,0,0,0,0,0
24,71,230,205,27,53,15,2,3,30,4,1,21,53,.259,.327,.395,.723,81,81,1,0,4,0,2
25,83,266,229,30,55,8,1,0,16,0,1,33,55,.240,.341,.284,.625,57,65,9,2,2,0,9
26,74,216,182,19,31,4,4,3,27,2,0,26,33,.170,.292,.286,.577,48,52,6,6,0,2,2
27,121,411,359,42,94,17,2,1,42,0,1,36,68,.262,.337,.329,.666,65,118,9,8,2,6,5
28,42,109,100,10,23,4,0,0,8,0,0,6,30,.230,.280,.270,.550,42,27,1,1,2,0,0
29,14,30,24,3,3,0,0,0,0,0,1,5,12,.125,.276,.125,.401,14,3,1,0,1,0,0
28,9,25,23,1,1,0,0,0,0,0,0,2,8,.043,.120,.043,.163,-53,1,2,0,0,0,0
27,5,13,13,0,2,0,0,0,0,0,0,0,4,.154,.154,.154,.308,-16,2,0,0,0,0,0
24,7,17,17,0,3,0,0,0,0,0,0,0,5,.176,.176,.176,.353,-2,3,1,0,0,0,0
26,15,39,34,2,4,1,0,0,0,0,0,4,8,.118,.231,.147,.378,11,5,2,1,0,0,0
27,69,197,167,16,37,10,0,2,20,0,1,24,46,.222,.323,.317,.640,82,53,6,2,2,2,1
28,100,311,277,38,69,15,2,7,32,0,1,30,65,.249,.320,.394,.714,99,109,5,0,2,2,0
29,66,230,214,18,50,9,0,2,12,0,0,15,61,.234,.287,.304,.591,64,65,5,1,0,0,1
30,44,155,136,11,27,4,0,3,20,0,0,15,40,.199,.279,.294,.573,57,40,5,1,1,2,1
31,39,114,99,10,23,3,1,3,8,0,0,12,18,.232,.319,.374,.692,82,37,4,1,1,1,1
32,51,158,141,11,24,3,0,4,11,0,0,14,35,.170,.248,.277,.525,35,39,5,1,1,1,1
33,22,57,49,3,7,2,1,0,4,0,0,7,15,.143,.246,.224,.470,34,11,2,0,0,1,0
36,6,13,11,1,0,0,0,0,0,0,0,2,5,.000,.154,.000,.154,-53,0,0,0,0,0,0
28,4,9,8,0,2,0,0,0,0,0,0,1,1,.250,.333,.250,.583,62,2,0,0,0,0,0
27,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,1,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
27,9,18,17,3,4,0,1,0,2,0,0,1,2,.235,.278,.353,.631,75,6,0,0,0,0,0
28,44,50,48,6,4,0,0,0,1,2,0,1,13,.083,.102,.083,.185,-48,4,3,0,1,0,0
33,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
23,60,226,192,28,57,7,1,8,36,0,0,31,39,.297,.394,.469,.863,143,90,8,1,0,2,1
24,28,108,88,13,19,8,0,1,9,0,0,18,18,.216,.352,.341,.693,102,30,1,1,0,1,2
25,128,443,377,47,85,19,1,15,49,3,0,58,115,.225,.327,.401,.728,111,151,7,2,0,6,1
26,115,426,355,43,83,12,0,16,47,0,1,65,92,.234,.353,.403,.756,112,143,16,2,1,3,1
27,126,457,390,49,89,14,1,27,72,1,3,64,116,.228,.339,.477,.816,118,186,11,2,0,1,1
28,129,482,438,50,108,27,0,22,58,0,1,40,130,.247,.308,.459,.767,101,201,10,0,1,3,0
29,140,518,440,65,106,23,2,24,68,2,1,72,124,.241,.349,.466,.815,121,205,12,3,0,3,1
30,153,632,513,79,126,26,2,28,77,5,1,109,139,.246,.380,.468,.848,119,240,16,5,0,5,2
31,46,194,161,27,37,7,0,8,27,0,0,30,58,.230,.351,.422,.773,112,68,4,1,0,2,0
32,93,375,279,60,67,9,0,23,62,0,0,87,82,.240,.420,.520,.939,157,145,15,3,1,5,0
27,145,622,556,80,176,35,2,36,107,3,1,51,131,.317,.383,.581,.964,173,323,14,11,0,4,15
28,154,668,613,88,178,34,3,30,101,0,0,39,140,.290,.347,.502,.850,135,308,16,15,0,1,11
29,159,695,624,67,183,32,1,25,100,0,2,47,125,.293,.353,.468,.820,124,292,21,15,0,9,7
30,156,675,621,95,189,43,6,33,102,3,0,35,119,.304,.354,.552,.906,141,343,21,15,0,4,6
31,128,553,499,68,132,36,1,22,78,2,0,37,109,.265,.325,.473,.798,117,236,14,11,0,6,7
32,159,693,634,85,180,38,1,33,123,2,2,36,152,.284,.330,.503,.834,118,319,24,13,0,10,4
33,60,262,240,43,76,15,0,19,60,0,0,18,59,.317,.370,.617,.987,165,148,10,3,0,1,1
34,152,659,566,86,148,30,2,30,117,1,0,61,143,.261,.351,.481,.831,125,272,28,22,0,10,3
23,34,131,121,17,35,5,0,0,10,0,3,9,26,.289,.344,.331,.674,89,40,2,1,0,0,0
24,66,125,114,13,27,2,0,1,4,1,1,9,33,.237,.290,.281,.571,61,32,1,0,1,1,1
25,127,452,405,57,110,20,4,1,35,19,5,40,86,.272,.339,.348,.687,92,141,6,2,4,1,1
26,155,622,547,67,161,14,11,6,39,17,13,66,116,.294,.371,.393,.764,106,215,6,2,5,2,4
27,128,577,511,85,150,26,6,9,34,15,5,61,104,.294,.373,.421,.793,110,215,8,4,0,1,1
28,161,708,605,91,153,15,3,15,60,19,6,95,155,.253,.356,.362,.718,94,219,12,4,1,3,4
29,161,667,612,77,171,31,3,14,71,9,2,45,100,.279,.333,.408,.741,92,250,9,6,0,4,4
30,58,261,233,35,66,20,0,3,20,0,0,24,57,.283,.355,.408,.763,109,95,3,2,1,0,0
31,149,637,570,84,132,21,2,21,62,1,1,59,135,.232,.308,.386,.694,89,220,11,5,0,3,2
31,96,420,376,60,87,17,2,18,47,0,0,38,90,.231,.307,.431,.738,100,162,6,4,0,2,0
31,53,217,194,24,45,4,0,3,15,1,1,21,45,.232,.309,.299,.608,69,58,5,1,0,1,2
23,99,431,410,57,116,22,6,9,30,10,2,13,117,.283,.306,.432,.738,100,177,15,1,6,1,0
24,146,606,587,72,151,26,4,17,56,15,1,13,162,.257,.276,.402,.679,81,236,13,3,2,1,0
25,153,606,567,77,136,28,3,20,64,26,8,30,149,.240,.281,.406,.687,87,230,15,4,2,3,2
26,123,518,498,81,167,32,0,18,56,17,5,15,109,.335,.357,.508,.865,128,253,12,3,0,2,0
27,49,221,208,45,67,11,1,10,21,5,2,10,50,.322,.357,.529,.886,140,110,4,2,0,1,0
28,123,551,527,94,163,29,2,17,61,18,7,22,119,.309,.338,.469,.806,118,247,5,1,0,1,1
21,8,20,19,3,4,1,0,0,1,0,0,1,12,.211,.250,.263,.513,36,5,0,0,0,0,0
22,54,231,199,31,46,8,2,8,22,3,2,29,74,.231,.338,.412,.750,103,82,0,3,0,0,0
23,149,650,578,73,136,32,6,17,61,12,6,67,217,.235,.315,.400,.714,96,231,4,1,2,2,1
24,132,559,511,83,161,34,5,25,79,10,3,40,154,.315,.367,.548,.915,140,280,1,4,1,3,2
25,52,231,200,28,45,8,3,6,24,0,0,28,72,.225,.320,.385,.705,94,77,1,1,0,2,0
26,144,616,520,74,137,33,1,14,61,3,2,84,157,.263,.375,.412,.787,117,214,6,10,0,2,1
23,127,469,417,56,98,22,0,15,48,1,1,41,101,.235,.309,.396,.705,92,165,14,6,0,5,0
22,56,227,202,33,47,8,0,11,31,9,2,20,73,.233,.302,.436,.738,100,88,4,1,0,2,0
23,68,296,275,42,93,22,1,13,43,6,1,14,61,.338,.378,.567,.946,155,156,4,5,0,2,1
23,22,103,85,19,22,3,2,2,5,2,3,14,15,.259,.382,.412,.794,114,35,0,3,1,0,0
24,66,277,250,40,63,10,4,3,22,5,2,17,44,.252,.314,.360,.674,86,90,4,6,3,1,0
25,123,538,486,76,146,26,10,1,35,15,9,43,83,.300,.362,.401,.763,120,195,4,5,2,2,0
26,153,689,610,98,175,28,9,14,56,18,8,58,131,.287,.361,.431,.792,122,263,5,14,5,2,2
27,157,706,619,91,176,29,9,14,59,14,5,63,115,.284,.362,.428,.790,117,265,6,14,7,3,2
28,23,107,91,24,27,7,1,2,13,3,1,14,18,.297,.393,.462,.854,120,42,0,1,0,1,0
29,95,370,319,55,96,18,1,5,33,9,1,38,64,.301,.394,.411,.805,114,131,2,11,2,0,0
30,151,656,566,103,158,25,7,15,49,15,3,65,106,.279,.365,.428,.792,105,242,8,13,9,3,0
31,41,176,159,22,36,11,1,4,17,3,0,12,32,.226,.285,.384,.669,79,61,4,1,4,0,1
32,83,288,254,38,51,10,2,6,30,3,0,22,71,.201,.282,.327,.608,67,83,6,7,4,1,0
32,58,219,189,33,38,8,2,5,28,2,0,20,55,.201,.298,.344,.642,76,65,5,6,4,0,0
32,25,69,65,5,13,2,0,1,2,1,0,2,16,.200,.232,.277,.509,39,18,1,1,0,1,0
27,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,68,262,240,26,65,9,1,7,37,0,1,20,46,.271,.328,.404,.732,100,97,7,1,0,1,1
22,45,111,101,10,20,1,1,0,2,7,2,7,34,.198,.248,.228,.475,31,23,0,0,2,1,0
22,25,57,52,8,10,0,1,0,1,1,0,3,16,.192,.236,.231,.467,29,12,0,0,2,0,0
22,20,54,49,2,10,1,0,0,1,6,2,4,18,.204,.259,.224,.484,34,11,0,0,0,1,0
23,73,155,145,13,24,3,0,1,6,11,1,5,48,.166,.192,.207,.399,15,30,6,0,4,1,1
24,17,15,14,0,3,0,0,0,1,1,0,1,7,.214,.267,.214,.481,38,3,0,0,0,0,0
25,18,50,48,6,11,1,1,1,5,2,1,1,13,.229,.260,.354,.614,67,17,0,1,0,0,0
26,87,326,300,41,81,15,2,9,33,8,5,13,69,.270,.316,.423,.739,98,127,4,8,3,2,0
27,82,275,258,23,70,7,4,4,32,12,1,9,69,.271,.303,.376,.679,87,97,2,3,4,1,0
28,140,618,577,93,161,27,3,8,40,15,5,21,139,.279,.310,.378,.688,83,218,6,6,11,3,0
29,16,63,59,6,16,1,0,3,8,0,0,4,9,.271,.317,.441,.758,106,26,0,0,0,0,0
30,126,474,415,60,111,22,4,5,54,6,2,41,97,.267,.335,.376,.711,96,156,12,4,9,5,0
25,22,44,42,1,12,4,1,0,5,0,0,2,14,.286,.318,.429,.747,95,18,1,0,0,0,0
26,74,278,251,41,63,21,1,13,30,6,0,23,69,.251,.313,.498,.811,104,125,3,1,0,3,2
27,48,79,65,9,13,1,0,3,12,3,1,10,26,.200,.321,.354,.674,78,23,0,2,1,1,0
27,27,101,94,11,25,5,0,3,13,1,1,6,31,.266,.317,.415,.732,99,39,0,1,0,0,0
28,136,458,413,65,108,29,3,17,47,7,3,38,129,.262,.326,.470,.796,108,194,3,3,1,3,2
29,30,109,95,12,23,7,1,4,17,1,0,12,35,.242,.330,.463,.793,115,44,0,1,0,1,1
29,20,55,49,5,8,2,0,2,5,4,0,5,19,.163,.236,.327,.563,45,16,1,0,0,1,0
30,72,271,235,33,52,10,1,8,29,1,0,33,58,.221,.319,.374,.693,90,88,2,1,1,1,0
22,122,504,468,69,125,18,2,31,79,0,0,30,134,.267,.315,.513,.828,116,240,11,4,0,2,0
23,55,226,213,26,63,14,0,14,41,0,0,12,56,.296,.332,.559,.891,139,119,4,0,0,1,0
24,55,231,213,23,53,10,0,10,37,0,0,16,57,.249,.303,.437,.740,100,93,8,1,0,1,0
24,27,102,86,10,16,3,1,3,12,0,0,14,39,.186,.307,.349,.656,76,30,1,1,0,0,1
25,9,18,16,1,1,1,0,0,0,0,0,2,5,.063,.167,.125,.292,-17,2,0,0,0,0,0
26,78,231,195,25,41,13,0,4,26,1,1,34,69,.210,.330,.338,.669,85,66,4,1,1,0,1
23,29,109,103,8,35,3,0,0,11,2,1,4,7,.340,.376,.369,.745,107,38,5,2,0,0,0
24,54,215,200,30,61,10,4,2,21,1,2,11,17,.305,.349,.425,.774,112,85,3,3,0,1,0
25,16,40,39,6,12,0,0,2,4,0,0,1,11,.308,.325,.462,.787,107,18,1,0,0,0,0
26,33,114,107,11,26,4,1,3,6,0,1,6,25,.243,.281,.383,.664,81,41,3,0,0,1,0
27,71,186,164,14,36,5,0,2,20,0,1,18,42,.220,.303,.287,.589,64,47,1,2,1,1,0
25,54,179,160,23,40,8,0,11,34,0,0,16,40,.250,.324,.506,.830,123,81,4,2,0,1,0
25,97,336,301,34,50,11,3,6,21,8,1,19,117,.166,.235,.282,.517,40,85,1,8,8,0,0
26,143,463,429,49,101,17,4,6,29,16,8,18,129,.235,.279,.336,.614,69,144,1,8,7,1,0
27,89,248,227,26,55,10,2,6,26,3,3,14,78,.242,.304,.383,.687,83,87,5,6,1,0,0
28,36,93,88,11,26,5,1,3,12,1,0,3,19,.295,.333,.477,.811,120,42,1,2,0,0,0
29,39,140,123,21,31,9,0,7,18,7,1,11,31,.252,.336,.496,.832,124,61,4,5,0,1,0
22,13,22,19,9,7,2,0,0,1,13,1,2,4,.368,.429,.474,.902,150,9,0,0,1,0,0
23,152,611,563,72,141,25,8,6,48,56,23,34,117,.250,.292,.355,.648,81,200,1,1,9,4,0
24,114,454,412,56,93,8,3,4,28,57,8,28,75,.226,.274,.289,.563,55,119,5,1,9,4,0
25,119,460,411,69,107,19,3,3,17,58,8,36,93,.260,.321,.343,.664,77,141,5,1,11,1,0
26,139,633,582,85,144,17,11,4,38,59,13,44,133,.247,.299,.335,.634,66,195,5,0,5,2,0
27,153,556,504,74,119,16,9,4,29,34,10,46,132,.236,.299,.327,.626,69,165,1,1,1,4,0
28,93,305,275,32,58,12,2,0,12,18,5,25,74,.211,.275,.269,.544,45,74,1,0,3,2,0
28,26,48,41,9,11,2,0,0,3,4,1,7,13,.268,.375,.317,.692,80,13,0,0,0,0,1
29,31,36,32,10,4,0,0,1,2,6,2,2,7,.125,.171,.219,.390,6,7,0,0,1,1,0
29,17,25,22,4,1,0,0,0,1,3,1,1,3,.045,.083,.045,.129,-63,1,0,0,1,1,0
29,14,11,10,6,3,0,0,1,1,3,1,1,4,.300,.364,.600,.964,154,6,0,0,0,0,0
30,71,135,127,23,28,8,3,2,11,9,0,4,47,.220,.242,.378,.620,67,48,1,0,3,1,0
23,37,133,126,15,29,4,1,4,11,1,1,6,37,.230,.263,.373,.636,75,47,4,0,0,1,0
24,107,390,350,38,92,15,5,6,34,3,2,36,97,.263,.331,.386,.716,92,135,5,1,0,3,3
25,151,594,523,81,130,31,9,29,91,6,1,64,154,.249,.332,.509,.840,114,266,13,3,0,4,5
26,149,635,536,89,133,30,4,30,105,6,4,87,152,.248,.357,.487,.844,112,261,15,7,0,5,13
27,56,238,207,34,46,8,0,6,31,1,2,26,65,.222,.307,.348,.655,74,72,4,1,0,4,0
28,78,226,187,26,36,8,2,6,30,1,0,32,55,.193,.323,.353,.676,76,66,4,5,0,2,1
29,18,50,43,2,5,1,0,0,1,0,1,6,17,.116,.240,.140,.380,7,6,0,1,0,0,0
29,13,49,45,5,12,4,0,3,9,0,0,2,8,.267,.327,.556,.882,141,25,1,2,0,0,0
30,55,170,144,25,28,4,0,7,19,0,0,22,51,.194,.306,.368,.674,84,53,4,2,0,2,0
30,43,131,113,20,24,2,0,6,13,0,0,17,38,.212,.321,.389,.710,94,44,4,1,0,0,0
30,12,39,31,5,4,2,0,1,6,0,0,5,13,.129,.256,.290,.547,50,9,0,1,0,2,0
25,5,12,12,1,1,0,0,0,0,0,0,0,9,.083,.083,.083,.167,-55,1,0,0,0,0,0
27,37,104,93,15,17,3,0,5,15,0,0,6,41,.183,.240,.376,.616,66,35,1,1,4,0,0
25,15,42,38,5,10,3,1,1,3,0,0,4,15,.263,.333,.474,.807,118,18,2,0,0,0,0
24,10,33,32,4,8,3,0,0,2,0,0,1,11,.250,.273,.344,.616,68,11,1,0,0,0,0
23,83,343,313,45,90,14,4,12,55,1,2,20,97,.288,.338,.473,.811,111,148,8,6,0,4,0
24,140,448,407,53,104,12,3,17,50,3,2,32,111,.256,.324,.425,.749,99,173,4,9,0,0,2
25,67,112,106,9,16,4,0,2,5,0,0,4,43,.151,.196,.245,.442,14,26,1,2,0,0,0
27,4,13,10,2,0,0,0,0,0,0,0,1,4,.000,.231,.000,.231,-27,0,1,2,0,0,0
24,3,2,1,1,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,57,0,0,1,0,0,0
25,6,11,8,2,2,2,0,0,0,0,0,3,2,.250,.455,.500,.955,163,4,1,0,0,0,0
23,21,60,54,3,10,0,0,1,1,0,0,4,10,.185,.241,.241,.482,36,13,0,0,2,0,1
24,81,274,242,23,61,9,0,3,18,0,1,25,45,.252,.324,.326,.650,79,79,10,2,2,3,5
25,115,420,377,34,97,23,1,7,51,1,0,36,72,.257,.323,.379,.702,86,143,12,2,2,3,8
26,121,423,370,26,100,24,2,7,44,4,0,42,68,.270,.347,.403,.750,95,149,12,3,5,3,11
27,138,522,460,50,114,21,3,10,46,0,4,54,96,.248,.328,.372,.699,88,171,13,2,3,3,2
28,114,364,316,32,73,14,0,11,40,1,0,44,83,.231,.328,.380,.708,80,120,5,2,1,1,7
29,38,110,98,10,20,3,0,5,13,0,0,12,28,.204,.291,.388,.679,75,38,2,0,0,0,0
30,116,388,348,41,86,21,0,7,48,0,0,29,100,.247,.317,.368,.685,75,128,8,8,0,3,1
23,24,89,84,11,27,7,0,4,17,1,0,5,15,.321,.360,.548,.907,127,46,0,0,0,0,1
24,151,589,526,69,156,32,3,24,84,7,5,59,102,.297,.368,.506,.874,125,266,7,2,0,2,9
25,131,544,469,82,151,38,1,25,84,4,1,70,106,.322,.414,.567,.981,156,266,8,4,0,1,10
26,150,648,547,106,177,36,2,37,113,16,5,91,125,.324,.424,.600,1.024,171,328,11,7,0,3,8
27,161,719,599,101,185,40,3,29,103,8,6,110,129,.309,.416,.531,.947,155,318,20,4,0,6,15
28,111,475,374,59,126,44,0,14,56,5,3,94,85,.337,.474,.567,1.041,177,212,8,5,0,2,18
29,162,726,581,101,177,30,3,24,73,6,3,135,138,.305,.435,.491,.926,156,285,15,4,0,6,19
30,62,272,220,32,56,16,0,6,23,1,1,47,49,.255,.390,.409,.799,125,90,5,3,0,2,2
31,158,695,545,95,171,33,2,29,80,11,3,143,135,.314,.459,.541,1.000,174,295,11,5,0,2,15
32,158,677,556,101,181,34,2,29,97,8,1,108,120,.326,.434,.550,.985,160,306,16,5,0,8,15
33,162,707,559,106,179,34,1,36,100,5,1,134,83,.320,.454,.578,1.032,167,323,16,8,0,6,20
34,145,623,503,67,143,28,2,12,67,2,0,108,101,.284,.417,.419,.837,126,211,15,9,0,3,6
35,142,608,525,79,137,32,1,15,47,5,0,76,123,.261,.357,.411,.768,95,216,14,4,0,3,2
36,54,223,186,32,42,8,0,11,22,0,0,37,43,.226,.354,.446,.800,107,83,5,0,0,0,1
37,129,533,448,73,119,23,1,36,99,1,0,77,127,.266,.375,.563,.938,136,252,7,4,0,4,6
24,150,631,532,98,143,34,2,21,69,12,3,71,141,.269,.376,.459,.835,113,244,13,23,1,4,1
26,20,20,20,1,6,1,0,0,2,0,0,0,3,.300,.300,.350,.650,73,7,2,0,0,0,0
27,39,77,68,1,16,4,1,0,9,0,0,5,15,.235,.312,.324,.635,74,22,1,3,0,1,1
28,97,197,183,22,42,6,0,9,27,4,1,10,59,.230,.279,.410,.689,72,75,1,3,0,1,1
29,32,70,64,4,17,3,0,0,4,1,0,5,13,.266,.329,.313,.641,69,20,0,1,0,0,0
30,147,529,483,60,127,22,2,16,63,2,3,22,97,.263,.316,.416,.732,86,201,16,18,1,5,1
22,85,277,244,33,59,9,1,4,23,3,2,22,67,.242,.316,.336,.652,85,82,3,5,5,1,1
23,97,398,372,42,104,19,2,13,48,4,1,17,94,.280,.315,.446,.761,106,166,7,3,4,2,0
24,159,627,565,78,140,25,2,21,70,11,5,51,155,.248,.317,.411,.728,92,232,10,8,0,3,0
25,156,632,534,87,139,25,2,26,82,4,5,84,147,.260,.367,.461,.828,115,246,16,9,0,5,1
26,143,606,527,79,149,22,2,34,104,1,1,64,142,.283,.366,.526,.892,136,277,20,9,0,6,7
27,159,662,575,87,156,22,2,49,103,3,2,70,189,.271,.358,.572,.930,131,329,12,11,0,6,4
28,57,231,198,29,40,8,0,15,38,2,0,30,67,.202,.312,.470,.781,100,93,5,2,0,1,1
29,145,574,505,71,100,23,0,31,79,0,1,56,171,.198,.286,.428,.713,80,216,14,8,0,5,0
23,47,137,121,21,36,7,0,7,15,1,1,15,24,.298,.375,.529,.904,132,64,2,0,1,0,0
24,89,334,281,38,84,16,0,7,43,0,0,49,46,.299,.405,.431,.836,125,121,6,2,1,1,4
25,113,384,338,51,91,17,2,16,38,0,2,38,60,.269,.357,.473,.830,109,160,10,8,0,0,2
26,54,183,149,27,38,7,0,12,23,1,0,28,46,.255,.388,.544,.932,139,81,3,5,0,1,0
27,110,485,423,77,129,32,1,24,71,1,0,53,75,.305,.394,.556,.949,140,235,14,9,0,0,1
25,116,365,321,52,95,18,5,14,43,6,3,36,112,.296,.372,.514,.886,128,165,4,4,2,2,4
26,19,40,37,4,8,2,0,0,1,0,1,2,9,.216,.250,.270,.520,37,10,1,0,0,1,0
27,61,183,174,22,46,7,0,3,23,1,1,6,42,.264,.295,.356,.651,76,62,1,2,0,1,1
28,89,294,274,34,79,19,0,10,34,4,2,14,66,.288,.325,.467,.792,103,128,8,2,2,2,2
29,40,141,133,15,29,8,1,4,20,0,1,5,40,.218,.248,.383,.632,70,51,3,1,0,2,0
30,127,454,411,52,111,24,2,19,70,5,3,35,106,.270,.333,.477,.809,105,196,9,5,0,3,1
21,11,18,18,1,5,0,0,0,0,0,0,0,1,.278,.278,.278,.556,53,5,0,0,0,0,0
22,148,579,533,50,138,31,4,11,66,2,2,36,140,.259,.306,.394,.700,97,210,7,3,0,7,3
23,154,595,549,42,140,33,6,15,73,0,3,39,152,.255,.303,.419,.721,97,230,21,1,0,6,1
24,110,447,411,54,117,25,4,18,58,1,1,28,111,.285,.331,.496,.827,120,204,4,3,0,5,1
25,157,665,614,73,167,36,10,26,101,4,5,41,142,.272,.320,.490,.811,112,301,12,5,0,5,0
26,157,678,620,88,185,46,5,23,89,2,1,49,151,.298,.354,.500,.854,128,310,8,6,0,3,5
27,100,439,403,57,110,37,3,11,37,2,1,31,96,.273,.328,.462,.790,105,186,7,3,0,2,1
27,51,225,212,43,68,21,0,16,36,0,1,10,47,.321,.356,.646,1.002,153,137,5,2,0,1,0
28,60,242,218,37,49,11,2,14,34,0,2,19,69,.225,.298,.486,.784,100,106,5,4,0,1,1
29,138,585,531,95,164,38,1,34,100,3,1,41,121,.309,.362,.576,.939,136,306,16,7,0,6,5
23,8,20,17,4,5,0,0,2,6,0,0,2,9,.294,.400,.647,1.047,167,11,0,1,0,0,0
24,132,402,350,56,100,21,0,10,45,0,0,41,75,.286,.366,.431,.797,104,151,11,6,0,5,1
22,89,365,338,26,89,18,1,5,30,2,0,22,51,.263,.309,.367,.675,86,124,5,1,2,2,0
23,149,614,563,69,136,34,1,20,73,5,2,39,124,.242,.296,.412,.708,91,232,4,7,0,5,4
24,136,514,472,42,110,26,0,12,42,2,4,32,83,.233,.287,.364,.651,77,172,13,5,1,4,1
25,140,500,457,45,97,21,1,15,54,1,0,35,74,.212,.271,.361,.632,75,165,12,3,1,4,1
26,147,614,549,73,156,34,1,22,82,1,2,43,76,.284,.348,.470,.817,119,258,14,13,4,5,1
27,27,113,104,12,25,6,0,7,13,0,1,9,13,.240,.301,.500,.801,110,52,5,0,0,0,0
28,148,598,555,75,151,24,0,38,85,0,0,34,94,.272,.314,.521,.835,117,289,18,3,0,6,7
29,98,417,378,46,94,21,1,20,62,3,0,30,63,.249,.309,.468,.778,109,177,10,5,0,4,3
29,54,218,195,20,50,12,0,8,33,1,1,19,40,.256,.326,.441,.767,104,86,3,2,0,2,2
30,143,584,523,80,133,30,1,35,87,3,0,53,98,.254,.329,.516,.845,114,270,12,6,0,2,5
31,44,163,139,13,32,9,0,8,27,1,0,18,36,.230,.331,.468,.799,105,65,5,4,0,2,1
32,62,206,183,21,38,12,0,6,22,0,0,18,46,.208,.282,.372,.653,66,68,6,2,0,3,0
24,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
25,56,225,205,31,53,8,0,19,47,7,0,16,60,.259,.316,.576,.891,119,118,5,2,0,2,2
26,23,56,47,7,8,1,0,2,8,1,0,6,18,.170,.304,.319,.623,63,15,1,3,0,0,0
27,84,204,174,25,33,6,1,10,23,2,2,27,75,.190,.299,.408,.707,79,71,0,1,0,2,2
32,54,183,155,16,38,6,1,0,9,7,3,25,34,.245,.357,.297,.654,74,46,1,2,0,0,0
33,88,183,162,16,33,8,0,0,12,2,3,14,40,.204,.282,.253,.535,39,41,1,4,1,1,1
