Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
25,122,479,445,51,103,25,1,26,58,3,0,27,140,.231,.284,.467,.751,96,208,4,6,0,1,1
26,117,441,403,53,100,23,1,26,68,2,1,30,109,.248,.302,.504,.805,120,203,9,3,0,5,2
27,140,494,440,64,95,19,1,33,64,5,0,46,154,.216,.289,.489,.778,103,215,6,2,0,6,1
28,42,139,122,18,19,5,0,8,22,2,0,14,37,.156,.252,.393,.645,79,48,3,2,0,1,0
29,144,572,521,89,135,33,0,31,96,1,2,44,130,.259,.315,.501,.816,112,261,6,1,0,6,0
23,53,226,208,29,57,13,0,6,35,0,1,13,48,.274,.319,.423,.742,104,88,4,2,0,3,1
24,113,439,395,34,95,14,3,11,55,0,2,40,96,.241,.311,.375,.685,86,148,18,1,0,2,0
25,86,310,296,24,74,17,0,7,36,2,0,10,82,.250,.272,.378,.650,79,112,8,0,0,3,0
26,123,480,441,57,139,30,3,23,76,6,3,30,126,.315,.358,.553,.912,154,244,8,3,0,6,5
27,158,657,596,93,168,33,2,38,102,3,2,53,178,.282,.344,.535,.879,139,319,11,5,0,3,7
28,120,517,460,69,141,35,2,22,68,1,2,49,128,.307,.373,.535,.908,142,246,13,3,0,5,2
29,57,232,200,38,61,13,2,16,39,2,0,29,54,.305,.388,.630,1.018,165,126,10,0,0,3,5
29,62,257,232,47,70,13,1,29,65,2,0,24,74,.302,.366,.741,1.107,170,172,13,0,0,1,3
30,150,649,569,111,188,37,2,43,130,6,1,69,146,.330,.402,.629,1.031,173,358,19,4,0,7,11
31,146,657,575,98,175,33,2,36,105,2,0,72,138,.304,.383,.557,.939,139,320,19,4,0,5,9
32,54,237,211,22,45,16,0,7,27,1,0,22,59,.213,.291,.389,.680,79,82,6,2,0,2,3
33,148,634,570,92,163,42,3,28,99,0,0,55,150,.286,.349,.518,.867,126,295,18,3,0,5,6
23,80,219,205,21,48,13,0,2,12,3,3,13,29,.234,.280,.327,.607,65,67,9,0,1,0,0
24,72,222,204,22,45,8,0,4,14,6,2,9,37,.221,.252,.319,.571,58,65,5,0,8,1,0
25,103,310,285,33,79,15,1,6,23,2,4,17,58,.277,.327,.400,.727,106,114,6,4,4,0,0
26,120,370,344,44,96,18,1,12,34,4,5,16,74,.279,.317,.442,.759,109,152,9,3,7,0,0
27,141,518,484,55,123,26,3,13,51,12,6,22,118,.254,.293,.401,.694,91,194,16,5,6,1,1
28,134,515,455,67,138,34,0,23,90,8,3,49,99,.303,.377,.530,.907,146,241,8,6,3,2,4
29,145,552,489,61,121,25,3,16,68,2,3,53,126,.247,.324,.409,.733,101,200,14,3,5,2,3
30,114,463,425,52,112,19,0,15,55,1,0,31,98,.264,.322,.414,.736,94,176,7,6,0,1,2
31,53,199,175,15,37,4,0,5,22,0,0,17,41,.211,.286,.320,.606,69,56,1,3,0,4,0
32,91,307,276,30,55,14,0,5,28,3,2,20,78,.199,.275,.304,.579,55,84,8,9,1,1,0
32,77,271,242,25,49,14,0,2,20,3,2,19,70,.202,.281,.285,.567,52,69,5,8,1,1,0
32,14,36,34,5,6,0,0,3,8,0,0,1,8,.176,.222,.441,.663,76,15,3,1,0,0,0
24,73,258,233,18,51,9,0,3,21,0,0,17,60,.219,.280,.296,.576,61,69,4,4,1,3,4
25,48,151,132,6,26,6,0,1,11,0,0,17,33,.197,.298,.265,.563,55,35,1,2,0,0,2
26,37,118,100,11,26,5,0,3,13,1,0,14,17,.260,.364,.400,.764,106,40,2,3,0,1,2
27,79,277,238,33,50,13,2,7,30,0,1,28,65,.210,.315,.370,.685,92,88,12,9,1,1,2
28,59,174,158,13,35,10,0,3,17,0,1,12,31,.222,.287,.342,.629,64,54,4,3,0,1,0
29,24,89,82,8,28,5,1,1,17,1,0,5,14,.341,.393,.463,.857,128,38,4,2,0,0,0
30,64,173,157,15,45,7,0,3,15,0,0,12,26,.287,.349,.389,.737,96,61,4,3,1,0,0
22,69,273,232,52,57,6,1,16,43,3,3,36,77,.246,.355,.487,.842,130,113,4,4,0,1,1
